r_reco_mm,merged_smooth_bias_r_rec_minus_r_true_mm
4710.5552776388195,-10.422601147036728
4719.409704852427,-10.326598944851408
4728.264132066033,-10.230773704707948
4737.11855927964,-10.135132171807978
4745.972986493247,-10.03968109135313
4754.827413706854,-9.944427208545056
4763.681840920461,-9.84937726858538
4772.5362681340675,-9.754538016675745
4781.3906953476735,-9.6599161980178
4790.24512256128,-9.565518557813173
4799.099549774888,-9.471351841263495
4807.953976988495,-9.377422793570405
4816.808404202101,-9.283738159935565
4825.662831415708,-9.19030468556058
4834.517258629316,-9.09712911564711
4843.371685842922,-9.004218195396788
4852.226113056528,-8.911578670011243
4861.080540270135,-8.81921728469212
4869.934967483742,-8.727140784641067
4878.789394697349,-8.635355915059701
4887.643821910956,-8.54386942114967
4896.498249124563,-8.452688048112613
4905.352676338169,-8.361818541150175
4914.2071035517765,-8.271267645463979
4923.061530765383,-8.181042106255665
4931.915957978989,-8.091148668726895
4940.770385192596,-8.001594078079272
4949.624812406204,-7.9123850795144515
4958.47923961981,-7.823528418234075
4967.333666833417,-7.735030839439771
4976.188094047024,-7.64689908833318
4985.042521260631,-7.559139910115957
4993.896948474237,-7.471760049989703
5002.751375687844,-7.384766253156089
5011.605802901451,-7.298165264816733
5020.460230115058,-7.2119638301732945
5029.314657328665,-7.126168694427385
5038.169084542272,-7.040786602780657
5047.023511755878,-6.955824300434757
5055.877938969485,-6.871288532591306
5064.732366183092,-6.787186044451946
5073.586793396698,-6.703523581218327
5082.441220610305,-6.620307888092069
5091.295647823912,-6.5375457102748165
5100.150075037519,-6.455243792968219
5109.004502251126,-6.373408881373901
5117.858929464733,-6.2920477206935015
5126.71335667834,-6.2111670561286525
5135.567783891946,-6.130773632881024
5144.422211105553,-6.050874196152214
5153.27663831916,-5.971475491143879
5162.131065532766,-5.892584263057657
5170.985492746373,-5.814207257095181
5179.839919959981,-5.736351218458094
5188.694347173587,-5.659022892348037
5197.548774387194,-5.582229023966634
5206.4032016008005,-5.505976358515528
5215.257628814408,-5.430271641196372
5224.112056028014,-5.355121617210789
5232.966483241621,-5.280533031760418
5241.820910455228,-5.206512630046892
5250.675337668835,-5.133067157271873
5259.529764882442,-5.060203358636969
5268.3841920960485,-4.98792797934383
5277.2386193096545,-4.916247764594102
5286.093046523262,-4.845169459589412
5294.947473736869,-4.774699809531401
5303.801900950475,-4.704845559621714
5312.656328164082,-4.635613455061976
5321.510755377689,-4.5670102410538265
5330.365182591297,-4.499042662798915
5339.219609804903,-4.431717465498876
5348.074037018509,-4.365041394355338
5356.928464232116,-4.299021194569948
5365.782891445723,-4.233663611344341
5374.63731865933,-4.168975389880152
5383.491745872937,-4.104963275379024
5392.346173086543,-4.0416340130425965
5401.200600300151,-3.9789943480725025
5410.0550275137575,-3.9170510256703714
5418.909454727364,-3.855810791037856
5427.76388194097,-3.795280389376595
5436.618309154577,-3.7354665658882094
5445.472736368185,-3.676376065774356
5454.327163581791,-3.618015634236674
5463.181590795398,-3.5603920164767735
5472.036018009005,-3.5035119576963187
5480.890445222612,-3.4473822030969465
5489.744872436218,-3.3920094978802737
5498.599299649825,-3.337400587247961
5507.453726863431,-3.283562216401646
5516.308154077039,-3.2305011305429394
5525.162581290646,-3.178224074873508
5534.017008504253,-3.1267377945949777
5542.871435717859,-3.076049034908996
5551.7258629314665,-3.026164541017188
5560.580290145073,-2.9770910581211965
5569.434717358679,-2.9288353314226625
5578.289144572286,-2.8814041061232225
5587.143571785893,-2.8348041274245075
5595.9979989995,-2.7890421405281747
5604.852426213107,-2.7441248906358355
5613.706853426714,-2.7000591229491406
5622.561280640321,-2.6568515826697277
5631.415707853927,-2.614509014999252
5640.270135067534,-2.5730381651393213
5649.124562281141,-2.532445778291586
5657.978989494747,-2.4927385996576876
5666.833416708355,-2.4539233744392583
5675.687843921962,-2.416006847837944
5684.542271135568,-2.3789957650553815
5693.396698349175,-2.342896871293197
5702.251125562781,-2.307716911753037
5711.105552776388,-2.273462631636544
5719.959979989995,-2.240140776145338
5728.814407203602,-2.2077580904810805
5737.668834417209,-2.1763213198453943
5746.523261630816,-2.1458372094399203
5755.377688844423,-2.116312504466299
5764.2321160580295,-2.087753950126168
5773.0865432716355,-2.060168291621169
5781.940970485243,-2.0335622741529322
5790.79539769885,-2.0079426429230995
5799.649824912456,-1.983316143133304
5808.504252126063,-1.95968951998519
5817.358679339671,-1.9370695186803901
5826.213106553278,-1.9154628844205357
5835.067533766884,-1.8948763624072975
5843.92196098049,-1.875316697842268
5852.776388194097,-1.8567906359271131
5861.630815407704,-1.8393049218634696
5870.485242621311,-1.8228663008529689
5879.339669834918,-1.8074815180972472
5888.194097048524,-1.7931573187979462
5897.048524262132,-1.7799004481567076
5905.9029514757385,-1.7677176513751625
5914.7573786893445,-1.756615673654952
5923.611805902951,-1.7466012601977086
5932.466233116559,-1.7376811562050785
5941.320660330166,-1.7298621068786926
5950.175087543772,-1.7231508574201977
5959.029514757379,-1.7175541530312253
5967.883941970987,-1.713078738913407
5976.738369184593,-1.7097313602683943
5985.592796398199,-1.7075187622978183
5994.447223611806,-1.7064476902033205
6003.301650825412,-1.7064093471577553
6012.15607803902,-1.706870855984353
6021.010505252627,-1.7077635098744088
6029.864932466234,-1.709085836235443
6038.71935967984,-1.7108363624749758
6047.5737868934475,-1.7130136160005276
6056.428214107054,-1.715616124219619
6065.28264132066,-1.71864241453977
6074.137068534267,-1.7220910143685013
6082.991495747875,-1.7259604511133333
6091.845922961481,-1.7302492521817856
6100.700350175088,-1.7349559449813798
6109.554777388695,-1.7400790569196354
6118.4092046023015,-1.7456171154040727
6127.263631815908,-1.7515686478422132
6136.118059029515,-1.7579321816415758
6144.972486243122,-1.7647062442096824
6153.826913456728,-1.7718893629540515
